Usuario_ID,Nombre_cancion,diff_F_min,diff_F_max,diff_F_prom,diff_F_mediana,diff_P10,diff_P90,diff_rango,diff_rango_efectivo,label
U044,No me culpes por sentir - Kevin Kaarl,84.5936,194.1109,92.5986,112.4054,41.9539,139.1283,92.4705,97.1744,0
U105,Only girl - Rihanna,75.0274,294.1036,75.0712,39.8857,124.1133,31.3407,341.7214,92.7725,0
U003,Nobody - Mitski,81.888,199.1936,6.2662,14.3689,34.7354,70.025,125.9577,104.7604,1
U092,Cola - Lana del rey,16.5792,420.8495,107.8456,56.7274,100.9988,7.3758,429.6995,93.623,0
U082,Fecha de caducidad - Melendi,80.5192,599.4751,22.9828,23.3643,0.7255,57.5581,746.2145,58.2836,0
U043,Loba - Shakira,68.1244,576.4756,174.5258,165.9243,105.5259,204.2243,721.757,98.6984,0
U007,Un violinista en tu tejado - Melendi,68.0895,4.5275,18.9947,11.5959,38.433,35.4609,171.5559,73.8939,1
U093,You know i'm no good - Amy Winehouse,22.2629,147.9696,87.4773,80.6858,67.7655,86.1905,178.3234,153.956,0
U028,Nobody - Mitski,54.5809,52.1047,151.7649,130.2738,106.8548,237.9445,164.4835,131.0897,0
U056,Quedate - Manuel Medrano,15.0001,150.2503,10.3583,10.8956,37.6043,21.8757,141.777,59.48,1
U091,Too little too late - Laufey,38.4691,452.8089,124.0735,121.9592,105.2004,85.2478,536.5511,19.9526,0
U036,A gritos de esperanza - Alex Ubago,61.4462,419.048,126.5577,117.2057,96.6134,213.3255,423.6085,116.7121,0
U083,Young and beautiful - Lana del rey ,53.6847,101.3403,35.3691,47.2201,50.2526,39.8225,38.1775,10.4301,1
U009,Tres veces te engañe - Paquita la del barrio,84.5936,320.6036,53.0215,117.631,131.1456,17.4739,391.9395,148.6195,0
U039,Te quiero tanto - Kevin Kaarl,66.2091,73.4731,172.19,207.8806,117.2219,301.2262,62.5738,184.0044,0
U116,Amor viejo - Kevin Kaarl,78.2254,17.4398,99.5137,110.472,3.0367,211.1075,60.9675,214.1442,0
U111,Si hay algo - Josean Log,61.0367,239.3031,138.8657,125.302,11.5084,220.8732,398.2959,232.3817,0
U064,Milagrosa - Milo J,45.4417,625.5469,23.4224,15.2316,14.0134,87.7467,765.3151,101.7601,0
U034,Summertime sadness - Lana del rey,53.5408,594.9991,100.1794,98.4541,54.9761,22.2328,679.3376,77.2088,0
U056,Sin miedo a nada - Alex Ubago,15.0001,43.4394,28.873,15.5034,18.509,125.3951,51.9127,106.8862,1
U058,Me arrepiento - Alex Ubago,51.3542,80.8333,15.4059,2.2865,22.2801,80.7215,182.328,103.0016,1
U056,Alguien como tu - Josean Log,15.0001,123.7435,16.1124,1.9934,32.2429,13.0151,115.2702,45.258,1
U085,I bet on losing dogs - Mitski,79.7899,577.2819,49.5181,51.234,52.8067,48.8814,763.111,101.6882,0
U010,Niño - Milo J,35.4777,136.3452,9.8582,17.1672,7.9538,34.4464,85.7364,42.4003,1
U048,Bad - Michael Jackson,84.5936,376.7236,21.4676,44.5778,3.1615,14.0898,457.0082,17.2513,1
U002,Nobody - Mitski,56.0671,182.5177,35.9514,13.6185,117.7676,194.7301,141.2323,312.4977,0
U075,Rincon - Milo J,67.6972,461.1745,217.7798,243.8912,100.0753,244.3336,576.5922,144.2583,0
U055,Sin remitente - Melendi,59.0821,94.6605,6.1672,22.3976,10.5154,9.4967,3.3788,20.012,1
U058,Donde nadie pueda ir - Manuel Medrano,51.3542,302.732,1.4427,1.2453,5.3045,17.06,404.2267,11.7555,1
U100,Alguien como tu - Josean Log,60.9263,42.4255,11.1142,4.3947,41.8829,28.8564,168.9239,70.7392,1
U050,Una y otra vez - Manuel Medrano,84.5936,144.1271,49.8254,66.9252,30.4797,59.3341,59.7559,89.8138,1
U008,Caminando por la vida - Melendi,23.3973,194.5291,3.1916,13.4216,47.358,175.8365,198.5551,223.1945,1
U086,Yes or no - Jung Kook,81.1035,17.3185,22.2371,55.9762,80.8378,3.2186,99.6514,77.6193,1
U036,Quimbara - Celia Cruz,56.7246,205.3674,8.4519,10.7481,14.036,104.5834,196.0852,90.5474,1
U086,Send my love - Adele,81.8948,185.5291,41.2452,7.0355,120.1272,99.6584,268.6533,20.4688,0
U087,Quimbara - Celia Cruz,40.5063,192.0469,48.6896,21.385,11.8293,221.137,135.7982,209.3077,0
U092,Amor viejo - Kevin Kaarl,60.5392,74.0885,101.0374,139.7307,39.4806,328.2886,21.2784,288.808,0
U038,Pobre pistolita - Paquita la del barrio,60.5,142.1664,17.785,34.2232,107.0819,8.1737,203.7526,98.9083,1
U020,Treat you better - Shawn Mendes,81.4806,212.5279,21.2951,0.6754,97.7119,141.6817,281.6523,43.9697,1
U113,Rehab - Amy Winehouse,28.519,163.8078,36.2031,4.0022,105.5793,57.7716,191.8564,163.351,1
U021,Washin machine - Mitski,43.2282,212.3601,15.6517,6.3897,41.7348,196.648,23.0698,238.3828,1
U116,Borracho te recuerdo - Vicente Fernandez,78.2254,18.301,1.9433,28.1147,9.8713,93.0211,96.7083,83.1498,1
U100,You know i'm no good - Amy Winehouse,3.573,233.9565,100.9921,113.2408,109.7956,126.8265,303.1016,17.0308,0
U023,Lover girl - Laufey,22.6085,457.8388,29.7812,24.8938,45.7525,129.2301,435.6964,174.9827,0
U016,Donde nadie pueda ir - Manuel Medrano,62.3968,255.7277,26.8024,24.974,20.369,94.2693,346.2038,73.9003,1
U083,Tu jardin con enanitos - Melendi,84.5936,524.864,20.8015,31.9254,24.1894,17.3625,618.9357,41.5519,1
U056,Lover girl - Laufey,92.202,417.8002,81.6408,90.9451,119.4356,91.3846,319.0714,28.0511,0
U107,Remember the time  Michael Jackson,72.1148,504.6492,46.8771,13.3041,68.6593,132.6785,587.9519,64.0192,0
U004,Bitch better have my money - Rihanna,41.6349,620.8074,189.8385,231.6081,194.8003,211.0133,734.1181,16.213,0
U026,Caminando por la vida - Melendi,60.9706,358.6969,16.8578,8.2135,9.4171,5.4863,434.4378,3.9308,1
